Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level,label
6.38224E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
6.38224E+17,20.80345,-0.9818845,-3.151881,26.7407,-63.38167,50.61862,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.83611,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,20.80345,-0.9818845,-3.151881,26.81394,-63.38167,50.61862,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.90935,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,20.80345,-0.9818845,-3.151881,26.81394,-63.38167,50.61862,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.83611,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,20.80345,-0.9818845,-3.151881,26.7407,-63.38167,50.61862,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.90935,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,20.80345,-0.9818845,-3.151881,26.7407,-63.38167,50.61862,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.90935,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,20.80345,-0.9818845,-3.151881,26.7407,-63.30842,50.61862,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.83611,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,20.80345,-0.9818845,-3.151881,26.81394,-63.38167,50.54538,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.83611,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,20.80345,-0.9818845,-3.151881,26.81394,-63.38167,50.61862,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.83611,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,20.80345,-0.9818845,-3.151881,26.81394,-63.30842,50.61862,-57.01511,-0.4675641,7.190958,-72.72624,-8.594284,-36.83611,0,0,0,44.75001,-112.0834,-50.56611,-125.8539,-110.0393,-86.66669,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
