Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level,label
6.38225E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,2
6.38225E+17,28.05991,1.239045,-8.545099,9.894309,-12.69601,48.42127,53.08059,33.29056,-14.59204,-58.44344,-18.48238,44.75901,0,0,0,53.39196,-105.6362,-68.18713,62.25676,-32.50486,-121.5733,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.03635,1.16891,-8.545099,9.967555,-12.69601,48.34802,52.37379,39.67281,-9.47899,-58.00396,-26.68584,44.24629,0,0,0,53.35239,-105.7994,-68.16216,63.89859,-23.04826,-119.0949,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.03635,1.145532,-8.545099,10.18729,-12.69601,48.34802,51.10155,42.38468,-3.992383,-61.59297,-32.91168,43.4406,0,0,0,53.3529,-105.8538,-68.16119,69.4307,-19.78451,-112.3296,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.01279,1.122154,-8.545099,10.33378,-12.69601,48.42127,48.69844,43.31981,1.097321,-94.48006,-42.87302,41.46298,0,0,0,53.31221,-105.9082,-68.13831,74.80204,-18.48812,-102.6312,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.01279,1.122154,-8.545099,10.55352,-12.69601,48.34802,46.53092,41.70671,1.144016,-122.533,-46.9015,36.04284,0,0,0,53.31221,-105.9082,-68.13831,74.18298,-21.25328,-98.02903,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.01279,1.098776,-8.545099,10.77325,-12.62277,48.34802,44.92884,39.29876,-0.1867781,-125.1698,-47.12124,31.50163,0,0,0,53.3127,-105.9626,-68.13738,72.57109,-25.54019,-95.59843,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.01279,1.098776,-8.545099,10.91974,-12.62277,48.34802,44.22205,37.94283,-0.8871961,-123.9979,-46.53528,30.03673,0,0,0,53.3127,-105.9626,-68.13738,71.905,-27.99046,-94.46537,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.01279,1.098776,-8.545099,11.13948,-12.69601,48.34802,43.44457,34.99717,-2.054559,-121.4343,-44.63091,28.2056,0,0,0,53.3127,-105.9626,-68.13738,71.83009,-33.43325,-92.51007,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.01279,1.098776,-8.545099,11.28597,-12.62277,48.42127,43.25609,32.05152,-2.591547,-120.6286,-42.21382,27.25341,0,0,0,53.3127,-105.9626,-68.13738,73.31884,-39.09723,-90.42637,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38225E+17,28.01279,1.098776,-8.545099,11.35921,-12.62277,48.42127,43.25609,30.57869,-2.661588,-120.7018,-40.8954,26.96043,0,0,0,53.3127,-105.9626,-68.13738,74.42808,-42.01817,-89.24747,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
