Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level,,label
6.38223E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,,1
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.25727,13.96523,-7.24506,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.25727,13.96523,-7.24506,-4.570632,-0.4675641,0.1400836,-35.22471,-8.447793,45.12524,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.25727,13.96523,-7.24506,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.25727,13.96523,-7.24506,-4.570632,-0.4675641,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,,
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.25727,13.96523,-7.24506,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.12524,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,9.01E-08,0,,
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.18402,14.03847,-7.24506,-4.570632,-0.4675641,0.1400836,-35.22471,-8.521038,45.05199,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,9.01E-08,0,,
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.25727,13.96523,-7.24506,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,9.01E-08,0,,
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.25727,14.03847,-7.24506,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,9.01E-08,0,,
6.38223E+17,34.4211,-0.9818845,-8.358321,-19.25727,13.96523,-7.24506,-4.570632,-0.4675641,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,64.41048,-110.8687,-74.35516,-10.65202,-111.0878,-35.1035,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,9.01E-08,0,,
