Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level,label
6.38223E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.31038,-63.30842,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.30842,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.30842,47.1761,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.30842,47.1761,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.30842,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.31038,-63.30842,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.12524,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.31038,-63.38167,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.30842,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.1761,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.1761,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.1761,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.30842,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.12524,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.30842,47.1761,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
6.38223E+17,33.8321,-0.9818845,-0.4435981,35.23714,-63.38167,47.10286,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,73.65839,-112.2811,-58.45367,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,8.72E-08,0,
