Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level,label
6.38224E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.37731,-62.9422,-43.13519,-56.96799,-0.4675641,6.91079,-72.21353,-8.521038,-36.83611,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,6.07E-08,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-62.9422,-43.13519,-56.96799,-0.4675641,6.91079,-72.14028,-8.594284,-36.83611,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,6.07E-08,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-62.9422,-43.13519,-56.96799,-0.4675641,6.91079,-72.14028,-8.594284,-36.83611,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,6.07E-08,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-62.9422,-43.13519,-56.96799,-0.4675641,6.91079,-72.21353,-8.594284,-36.83611,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,6.07E-08,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-63.01544,-43.13519,-56.96799,-0.4675641,6.91079,-72.21353,-8.594284,-36.83611,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-63.01544,-43.13519,-56.96799,-0.4675641,6.91079,-72.14028,-8.594284,-36.83611,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-63.01544,-43.13519,-56.96799,-0.4675641,6.91079,-72.21353,-8.594284,-36.90935,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-63.01544,-43.13519,-56.96799,-0.4675641,6.91079,-72.21353,-8.521038,-36.83611,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-63.01544,-43.13519,-56.96799,-0.4675641,6.91079,-72.14028,-8.594284,-36.90935,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
6.38224E+17,-3.251275,-1.005263,-3.992383,-41.30406,-63.01544,-43.06195,-56.96799,-0.4675641,6.91079,-72.21353,-8.594284,-36.83611,0,0,0,-7.03522,-112.0159,-44.50452,-125.2441,-110.1194,-86.91598,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0,
