Joint angle 0,Joint angle 1,Joint angle 2,Stylus X,Stylus Y,Stylus Z,Ball X,Ball Y,Ball Z,label
7.397828,49.49166,59.32541,25.92029,56.70747,31.28444,0.02473821,0.1735369,0.1796074,0
7.397828,49.39814,59.23202,25.92728,56.37911,31.33831,0.02473821,0.1735369,0.1796074,0
7.397828,49.39814,59.23202,25.92728,56.37911,31.33831,0.02473821,0.1735369,0.1796074,0
7.397828,49.39814,59.23202,25.92728,56.37911,31.33831,0.02473821,0.1735369,0.1796074,0
7.397828,49.35139,59.23202,25.93792,56.30825,31.42022,0.02473821,0.1735369,0.1796074,0
7.397828,49.35139,59.18532,25.93076,56.2149,31.36505,0.02473821,0.1735369,0.1796074,0
7.397828,49.32801,59.16197,25.93249,56.13279,31.37836,0.02473821,0.1735369,0.1796074,0
7.397828,49.32801,59.16197,25.93249,56.13279,31.37836,0.02473821,0.1735369,0.1796074,0
7.397828,49.32801,59.11527,25.92531,56.03949,31.32308,0.02473821,0.1735369,0.1796074,0
7.397828,49.32801,59.11527,25.92531,56.03949,31.32308,0.02473821,0.1735369,0.1796074,0
7.397828,49.32801,59.11527,25.92531,56.03949,31.32308,0.02473821,0.1735369,0.1796074,0
7.397828,49.32801,59.11527,25.92531,56.03949,31.32308,0.02473821,0.1735369,0.1796074,0
7.397828,49.32801,59.09193,25.92171,55.99287,31.29541,0.02473821,0.1735369,0.1796074,0
7.397828,49.32801,59.04524,25.91452,55.89965,31.24002,0.02473821,0.1735369,0.1796074,0
7.397828,49.2345,58.90515,25.91413,55.47828,31.23696,0.02473821,0.1735369,0.1796074,0
7.350708,49.09423,58.69503,25.74916,54.8465,31.25191,0.02473821,0.1735369,0.1796074,0
7.256468,49.04747,58.55495,25.40977,54.49685,31.20717,0.02473821,0.1735369,0.1796074,0
6.761709,48.93058,58.15804,23.65274,53.53191,31.14174,0.02473821,0.1735369,0.1796074,0
6.29051,48.93058,57.80783,21.964,52.84082,30.89999,0.02473821,0.1735369,0.1796074,0
