Joint angle 0,Joint angle 1,Joint angle 2,Stylus X,Stylus Y,Stylus Z,Ball X,Ball Y,Ball Z,label
29.14367,35.97906,52.48465,104.0639,20.48505,18.28099,0.01975166,0.173538,0.1719369,0
29.12011,36.00243,52.48465,103.9716,20.52907,18.29583,0.01975166,0.173538,0.1719369,0
29.12011,36.00243,52.48465,103.9716,20.52907,18.29583,0.01975166,0.173538,0.1719369,0
29.12011,36.00243,52.48465,103.9716,20.52907,18.29583,0.01975166,0.173538,0.1719369,0
29.09655,36.02581,52.48465,103.8792,20.57308,18.31061,0.01975166,0.173538,0.1719369,0
29.04943,36.02581,52.48465,103.7257,20.57308,18.39598,0.01975166,0.173538,0.1719369,0
29.00231,36.09594,52.48465,103.5255,20.70504,18.39719,0.01975166,0.173538,0.1719369,0
29.00231,36.21284,52.508,103.4637,20.96781,18.28575,0.01975166,0.173538,0.1719369,0
29.02587,36.47,52.508,103.3684,21.44991,17.93306,0.01975166,0.173538,0.1719369,0
29.02587,36.84405,52.53135,103.1322,22.19142,17.5075,0.01975166,0.173538,0.1719369,0
29.00231,37.24148,52.5547,102.8017,22.97285,17.09146,0.01975166,0.173538,0.1719369,0
29.00231,37.54539,52.5547,102.5934,23.53482,16.71577,0.01975166,0.173538,0.1719369,0
29.00231,37.80256,52.5547,102.416,24.00854,16.39585,0.01975166,0.173538,0.1719369,0
28.97875,37.94283,52.64809,102.3069,24.43892,16.3781,0.01975166,0.173538,0.1719369,0
28.93163,38.05972,52.74147,102.1377,24.82618,16.43087,0.01975166,0.173538,0.1719369,0
28.86095,38.36363,52.83487,101.7619,25.55506,16.28866,0.01975166,0.173538,0.1719369,0
28.62535,38.71431,52.99829,100.8681,26.49688,16.46051,0.01975166,0.173538,0.1719369,0
28.17771,39.06498,53.11503,99.25627,27.34929,16.93519,0.01975166,0.173538,0.1719369,0
27.63584,39.43903,53.11503,97.24401,28.02342,17.37762,0.01975166,0.173538,0.1719369,0
26.97615,39.76632,53.11503,94.87895,28.61033,18.05217,0.01975166,0.173538,0.1719369,0
26.29292,40.09362,53.11503,92.43288,29.19446,18.73195,0.01975166,0.173538,0.1719369,0
25.70392,40.39754,53.11503,90.30663,29.73436,19.2605,0.01975166,0.173538,0.1719369,0
25.23272,40.67807,53.11503,88.57979,30.23056,19.61295,0.01975166,0.173538,0.1719369,0
24.66728,41.00537,53.09168,86.49902,30.76338,19.99561,0.01975166,0.173538,0.1719369,0
24.10184,41.49631,52.99829,84.27508,31.44875,20.03307,0.01975166,0.173538,0.1719369,0
23.58352,42.22104,52.81152,82.01226,32.35826,19.51592,0.01975166,0.173538,0.1719369,0
23.04164,42.92238,52.53135,79.6449,33.04184,18.90312,0.01975166,0.173538,0.1719369,0
22.40552,43.74062,52.39126,76.98726,34.16853,18.38401,0.01975166,0.173538,0.1719369,0
21.79296,44.46534,52.34457,74.52605,35.29367,18.04482,0.01975166,0.173538,0.1719369,0
21.27464,45.0498,52.32122,72.47727,36.21656,17.78793,0.01975166,0.173538,0.1719369,0
20.77989,45.49398,52.22783,70.5595,36.77217,17.59581,0.01975166,0.173538,0.1719369,0
20.37937,45.82128,51.94767,68.92872,36.79014,17.19824,0.01975166,0.173538,0.1719369,0
20.00241,46.03168,51.76089,67.49429,36.78889,17.06481,0.01975166,0.173538,0.1719369,0
19.62545,46.14857,51.69085,66.17322,36.84959,17.22513,0.01975166,0.173538,0.1719369,0
19.31917,46.31222,51.55077,65.02232,36.85748,17.12564,0.01975166,0.173538,0.1719369,0
18.91865,46.49924,51.24725,63.47909,36.60558,16.86051,0.01975166,0.173538,0.1719369,0
18.58881,46.70965,50.87369,62.12421,36.26577,16.36769,0.01975166,0.173538,0.1719369,0
18.37677,46.92005,50.57018,61.18663,36.05409,15.83308,0.01975166,0.173538,0.1719369,0
18.09405,47.22397,49.96315,59.83573,35.44936,14.78203,0.01975166,0.173538,0.1719369,0
17.88201,47.57465,49.19269,58.6161,34.6367,13.32395,0.01975166,0.173538,0.1719369,0
17.55217,47.90194,48.49227,57.07572,33.92165,12.09797,0.01975166,0.173538,0.1719369,0
17.10453,48.08897,48.14206,55.40964,33.60421,11.71117,0.01975166,0.173538,0.1719369,0
16.70401,48.08897,47.93193,54.05561,33.24056,11.78091,0.01975166,0.173538,0.1719369,0
16.30349,48.08897,47.69846,52.69268,32.83792,11.80415,0.01975166,0.173538,0.1719369,0
15.99721,48.08897,47.46499,51.62789,32.43678,11.73091,0.01975166,0.173538,0.1719369,0
15.66737,48.08897,47.18483,50.47099,31.95738,11.59956,0.01975166,0.173538,0.1719369,0
15.38465,48.08897,46.81127,49.42513,31.32155,11.2747,0.01975166,0.173538,0.1719369,0
15.07837,48.06559,46.39102,48.29994,30.57453,10.92655,0.01975166,0.173538,0.1719369,0
14.7721,48.06559,45.83068,47.1104,29.63468,10.30796,0.01975166,0.173538,0.1719369,0
14.34802,48.06559,45.34039,45.58887,28.81959,9.878076,0.01975166,0.173538,0.1719369,0
13.87682,48.01883,44.8034,43.92933,27.862,9.468672,0.01975166,0.173538,0.1719369,0
13.42918,47.99545,44.12633,42.28695,26.7218,8.751915,0.01973938,0.1735378,0.1719344,0
12.98154,47.97207,43.49596,40.67327,25.66971,8.084618,0.01975688,0.1736082,0.1714802,0
12.51034,47.85518,42.88893,39.04153,24.52038,7.604697,0.01812867,0.173685,0.1712435,0
11.87422,47.71491,42.32859,36.9379,23.41815,7.324629,0.01607073,0.1738729,0.1707764,0
11.28522,47.52789,41.81495,35.01933,22.32374,7.140165,0.0142674,0.174087,0.1705514,0
10.74334,47.38762,41.3947,33.26658,21.45357,6.981286,0.01337599,0.1734763,0.1701227,0
10.34282,47.20059,40.90441,31.9433,20.40747,6.678932,0.0117212,0.1735494,0.1697605,0
10.0601,47.03695,40.48416,30.99847,19.51056,6.379037,0.01017345,0.1743084,0.1698826,0
9.848064,46.94343,40.20399,30.29384,18.93998,6.159704,0.01028413,0.1733125,0.1693576,0
9.730264,46.8733,40.08725,29.92003,18.65329,6.13441,0.009089921,0.1742629,0.1697121,0
9.730264,46.84992,40.06391,29.91971,18.58111,6.132561,0.009194894,0.1742869,0.169849,0
9.730264,46.84992,40.08725,29.92674,18.61609,6.173542,0.00927412,0.1742791,0.169918,0
9.730264,46.84992,40.1573,29.94781,18.72114,6.296402,0.009345329,0.1742608,0.1700731,0
9.730264,46.84992,40.22734,29.96885,18.82634,6.419135,0.009368489,0.174244,0.1701973,0
9.730264,46.84992,40.29738,29.98988,18.9317,6.541741,0.009383746,0.1742312,0.170295,0
9.730264,46.84992,40.32073,29.99688,18.96685,6.582582,0.009387625,0.174218,0.1703671,0
9.753823,46.84992,40.36742,30.08284,19.0372,6.651865,0.009321615,0.1742126,0.170425,0
9.777385,46.84992,40.43747,30.17588,19.14286,6.761815,0.009431641,0.1741905,0.170478,0
9.871624,46.84992,40.50751,30.48513,19.24867,6.834117,0.00981837,0.1741556,0.1705933,0
9.965863,46.92005,40.67094,30.80259,19.60771,6.950871,0.0099508,0.17411,0.1706166,0
10.08366,47.0837,41.04449,31.22931,20.43621,7.260323,0.01032079,0.1740226,0.1708831,0
10.24858,47.34086,41.53479,31.80905,21.59575,7.581204,0.01055763,0.1739212,0.1710989,0
10.46062,47.73829,42.14182,32.52713,23.16256,7.826307,0.01104018,0.1737866,0.1712572,0
10.62554,48.20586,42.84223,33.10669,24.99224,8.118881,0.01132167,0.1736289,0.1714049,0
10.86114,48.81369,43.75277,33.92299,27.38274,8.45527,0.01235374,0.1744243,0.172136,0
11.14386,49.46828,44.66332,34.86589,29.85703,8.645621,0.01334614,0.1767469,0.1724416,0
11.40302,50.14624,45.66725,35.75352,32.53227,8.919459,0.01425644,0.1793564,0.1726857,0
11.75642,50.89435,46.62449,36.8869,35.24579,8.890999,0.01545223,0.1821927,0.1727121,0
12.22762,51.78272,47.46499,38.28365,37.96913,8.306554,0.01682264,0.1848716,0.1721322,0
12.6517,52.67109,48.09537,39.4481,40.32211,7.38568,0.01790226,0.1871247,0.171211,0
12.95798,53.6296,48.72574,40.20504,42.75725,6.381707,0.01860884,0.1896842,0.170024,0
13.09934,54.77513,49.37947,40.37191,45.46587,5.147009,0.01869898,0.192425,0.1686837,0
13.1229,56.24796,50.29001,40.11212,49.02626,3.71004,0.01838122,0.1958718,0.1672428,0
13.1229,57.95457,51.36399,39.71344,53.1213,1.999902,0.01797729,0.2002034,0.165508,0
13.09934,59.8482,52.46131,39.14517,57.40767,-0.124855,0.01742355,0.2045311,0.1634286,0
13.07578,61.55481,53.16172,38.51527,60.64996,-2.522934,0.01683535,0.2075362,0.1611249,0
13.02866,63.21466,53.81545,37.8113,63.66345,-4.944185,0.01613563,0.2106161,0.1585945,0
12.8873,64.85114,54.49252,36.85016,66.6084,-7.289685,0.01517275,0.2135087,0.1561815,0
12.62814,66.23045,55.05285,35.64691,69.00283,-9.241966,0.01400082,0.2157295,0.1542556,0
12.2983,67.65652,55.58984,34.23137,71.33042,-11.32837,0.01247547,0.2181232,0.1519779,0
11.77998,69.01246,56.10348,32.34779,73.48475,-13.23915,0.01047805,0.2202648,0.1498771,0
11.09674,70.18137,56.54708,30.1153,75.29235,-14.80482,0.008254478,0.221942,0.1482101,0
10.22502,71.37366,57.06072,27.42688,77.20628,-16.29886,0.00538127,0.2238624,0.1464664,0
9.259066,72.56595,57.50431,24.52489,78.93379,-17.91158,0.002346453,0.2256316,0.1446959,0
8.363786,73.71148,57.83118,21.85936,80.34989,-19.66852,-0.000280952,0.2269953,0.1429158,0
7.232908,74.85701,58.11135,18.6411,81.62484,-21.46898,-0.003746548,0.2283943,0.1408345,0
5.93711,75.90903,58.39151,15.1052,82.7972,-23.10019,-0.007413706,0.229639,0.1390146,0
4.499953,77.21821,58.74172,11.25834,84.20066,-25.29766,-0.01120662,0.2310566,0.1367947,0
3.109915,78.48063,59.13863,7.654847,85.61039,-27.45881,-0.01501827,0.2325678,0.1344516,0
1.719877,79.64954,59.55888,4.169604,86.96788,-29.48603,-0.01871958,0.2340455,0.1322177,0
0.2591596,80.77169,60.09586,0.619589,88.49238,-31.37033,-0.02222348,0.2355504,0.1302616,0
-1.225118,81.89384,60.58615,-2.885624,89.87755,-33.41695,-0.0260129,0.2371093,0.1280004,0
-2.827195,82.99262,60.98306,-6.55414,91.02009,-35.632,-0.02972767,0.2382308,0.1256819,0
-4.405713,83.99789,61.28657,-10.05524,91.90376,-37.84059,-0.03307506,0.2390845,0.1235522,0
-6.05491,84.88625,61.61344,-13.62842,92.77225,-39.86886,-0.03669673,0.2400104,0.121381,0
-7.869027,85.68111,61.98699,-17.49275,93.69057,-41.78403,-0.03909897,0.2415243,0.1197899,0
-9.588904,86.24219,62.2905,-21.1215,94.40704,-43.32495,-0.04145715,0.2431449,0.1184561,0
-11.4737,86.80327,62.54733,-25.01792,95.01604,-45.09346,-0.04866564,0.2426319,0.1156246,0
-13.14646,87.29421,62.68741,-28.3798,95.36437,-46.84145,-0.05204539,0.2430552,0.1138669,0
-14.72498,87.69164,62.75745,-31.50032,95.54972,-48.49082,-0.05505215,0.2432464,0.1122592,0
-16.60977,87.90205,62.75745,-35.28556,95.56854,-50.06062,-0.05902334,0.2432908,0.1104906,0
-18.37677,87.92542,62.75745,-38.8991,95.57053,-51.2565,-0.06265309,0.2432896,0.1092491,0
-19.88461,87.92542,62.75745,-41.96679,95.57053,-52.32063,-0.06558977,0.2432888,0.1082628,0
-21.60448,87.90205,62.75745,-45.4503,95.56854,-53.58189,-0.06921392,0.2432823,0.1069239,0
-23.04164,87.90205,62.75745,-48.31444,95.56854,-54.75791,-0.07216594,0.2433016,0.1056598,0
-24.38456,87.90205,62.75745,-50.96334,95.56854,-55.92142,-0.07476153,0.2433447,0.10447,0
