Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level,label
6.38223E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1
6.38223E+17,29.16723,16.76217,-2.708283,-18.23184,20.04458,43.36735,-4.570632,-0.4441859,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,59.1573,-71.39296,-62.35818,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3077438,0,
6.38223E+17,29.16723,16.57515,-2.895061,-18.52482,20.11782,42.92788,-4.570632,-0.4441859,0.1400836,-35.15147,-8.447793,45.12524,0,0,0,59.00654,-71.7887,-62.6283,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3084969,0,
6.38223E+17,29.16723,16.50501,-2.98845,-18.89104,20.26431,42.34192,-4.570632,-0.4441859,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,58.9234,-71.93402,-62.77726,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3091499,0,
6.38223E+17,29.16723,16.50501,-2.98845,-19.18402,20.48405,41.90245,-4.570632,-0.4441859,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,58.9234,-71.93402,-62.77726,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3094675,0,
6.38223E+17,29.16723,16.50501,-3.011797,-19.40376,20.70378,41.60947,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,58.89695,-71.93118,-62.82464,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3096484,0,
6.38223E+17,29.16723,16.50501,-3.011797,-19.40376,20.77703,41.53622,-4.570632,-0.4441859,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,58.89695,-71.93118,-62.82464,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3097137,0,
6.38223E+17,29.16723,16.48163,-3.011797,-19.477,20.92352,41.53622,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,58.90448,-71.98335,-62.81115,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3098422,0,
6.38223E+17,29.16723,16.45825,-3.035145,-19.55025,20.99677,41.60947,-4.570632,-0.4441859,0.1400836,-35.22471,-8.447793,45.05199,0,0,0,58.88555,-72.03266,-62.84507,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3099498,0,
6.38223E+17,29.21435,16.36474,-3.128534,-19.69674,21.14326,41.68271,-4.570632,-0.4441859,0.1400836,-35.15147,-8.447793,45.05199,0,0,0,58.89638,-72.22975,-63.02929,-10.65206,-111.0334,-35.10307,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0.3100607,0,
