Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level
638224239687969755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
638224239688039729,-34.46822,-0.9818845,6.583929,-117.479,-61.55054,-77.1942,-56.99155,-0.4675641,7.027527,-72.43327,-8.594284,-36.83611,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224239688329639,-34.46822,-0.9818845,6.583929,-117.479,-61.55054,-77.1942,-56.99155,-0.4675641,7.027527,-72.43327,-8.521038,-36.83611,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224239688669528,-34.46822,-0.9818845,6.583929,-117.479,-61.62378,-77.1942,-56.99155,-0.4675641,7.027527,-72.43327,-8.594284,-36.83611,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224239689029416,-34.46822,-0.9818845,6.583929,-117.479,-61.55054,-77.1942,-56.99155,-0.4675641,7.027527,-72.43327,-8.594284,-36.83611,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224239689359308,-34.46822,-0.9818845,6.583929,-117.4058,-61.62378,-77.12095,-56.99155,-0.4675641,7.027527,-72.43327,-8.594284,-36.90935,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224239689709200,-34.46822,-0.9818845,6.583929,-117.4058,-61.55054,-77.1942,-56.99155,-0.4675641,7.027527,-72.43327,-8.594284,-36.90935,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224239690039093,-34.46822,-0.9818845,6.583929,-117.479,-61.62378,-77.1942,-56.99155,-0.4675641,7.027527,-72.43327,-8.594284,-36.90935,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224239690388983,-34.46822,-0.9818845,6.583929,-117.479,-61.62378,-77.1942,-56.99155,-0.4675641,7.027527,-72.43327,-8.594284,-36.83611,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224239690728873,-34.46822,-0.9818845,6.583929,-117.479,-61.62378,-77.12095,-56.99155,-0.4675641,7.027527,-72.43327,-8.521038,-36.83611,0,0,0,-84.11143,-111.4057,-45.82159,-125.5038,-110.0864,-86.82057,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
