Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Therapist joint angle 3,Therapist joint angle 4,Therapist joint angle 5,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Patient joint angle 3,Patient joint angle 4,Patient joint angle 5,Virtual joint angle 0,Virtual joint angle 1,Virtual joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x,Virtual position y,Virtual position z,Assistive Force, Obstacle Force Magnitude, Therapist Constant Force, Patient Constant Force, Recovery Factor, Assistance Level
638224325917523890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
638224325917593865,15.21973,-0.9818845,-1.70435,-72.36002,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.594284,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325917893782,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.90935,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325918243667,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.90935,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325918583559,15.21973,-0.9818845,-1.70435,-72.43327,-63.16194,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.594284,-36.90935,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325918913575,15.21973,-0.9818845,-1.70435,-72.43327,-63.16194,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.90935,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325919263336,15.21973,-0.9818845,-1.70435,-72.43327,-63.16194,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325919593237,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.594284,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325919933123,15.21973,-0.9818845,-1.70435,-72.43327,-63.16194,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325920273017,15.21973,-0.9818845,-1.70435,-72.36002,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325920613045,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.90935,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325920962801,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325921302676,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.90935,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325921642717,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325921992470,15.21973,-0.9818845,-1.70435,-72.43327,-63.16194,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325922322361,15.21973,-0.9818845,-1.70435,-72.36002,-63.16194,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.90935,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325922662264,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325923002145,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325923342041,15.21973,-0.9818845,-1.70435,-72.43327,-63.23518,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.594284,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325923681921,15.21973,-0.9818845,-1.70435,-72.43327,-63.16194,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.90935,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
638224325924021811,15.21973,-0.9818845,-1.70435,-72.43327,-63.16194,-47.09043,-56.89731,-0.4675641,6.607276,-71.48107,-8.521038,-36.83611,0,0,0,33.96092,-112.2261,-43.523,-124.5559,-110.2025,-87.14465,0.001067912,-0.1257102,0.09433498,0,0.3,0,0,0,0
